ANOV Issue Date ,Street No ,Street Direction ,Street Name ,City,State,ANOV Number ,Violation Description ,Age ,Street Address
9-Jun-12,23XX ,N ,MANGO ,Chicago,Illinois,P003284926 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,23XX  N  MANGO 
9-Jun-12,27XX ,W ,CERMAK ,Chicago,Illinois,P003043958 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,28,27XX  W  CERMAK 
9-Jun-12,34XX ,W ,BEACH ST ,Chicago,Illinois,P003227315 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,28,34XX  W  BEACH ST 
9-Jun-12,61XX ,N ,SHERIDAN ,Chicago,Illinois,P003133404 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,34,61XX  N  SHERIDAN 
9-Jun-12,61XX ,N ,SHERIDAN ,Chicago,Illinois,P003133953 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,28,61XX  N  SHERIDAN 
9-Jun-12,XX ,E ,CHICAGO AVE ,Chicago,Illinois,P003073191 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,XX  E  CHICAGO AVE 
10-Jun-12,21XX ,S ,TRUMBULL ,Chicago,Illinois,P003047630 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,23,21XX  S  TRUMBULL 
10-Jun-12,28XX ,W ,DEVON ,Chicago,Illinois,P003133988 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,28XX  W  DEVON 
11-Jun-12,12XX ,W ,111TH ST ,Chicago,Illinois,P002088476 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,12XX  W  111TH ST 
11-Jun-12,14XX ,W ,FOSTER ,Chicago,Illinois,P003122259 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,14XX  W  FOSTER 
11-Jun-12,21XX ,S ,TRUMBULL ,Chicago,Illinois,P003043016 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,25,21XX  S  TRUMBULL 
11-Jun-12,2XX ,E ,71ST ST ,Chicago,Illinois,P003183097 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,35,2XX  E  71ST ST 
11-Jun-12,34XX ,W ,23RD ST ,Chicago,Illinois,P003043015 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,27,34XX  W  23RD ST 
11-Jun-12,65XX ,S ,DAMEN ,Chicago,Illinois,P003007520 ,9-52-010 Rights and duties. ,28,65XX  S  DAMEN 
12-Jun-12,7XX ,W ,31ST ST ,Chicago,Illinois,P003232013 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,22,7XX  W  31ST ST 
13-Jun-12,33XX ,W ,MONTROSE ,Chicago,Illinois,P002524260 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,33,33XX  W  MONTROSE 
14-Jun-12,13XX ,W ,TOUHY ,Chicago,Illinois,P002518680 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,39,13XX  W  TOUHY 
14-Jun-12,15XX ,W ,MARQUETTE RD ,Chicago,Illinois,P003220976 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,23,15XX  W  MARQUETTE RD 
14-Jun-12,19XX ,S ,KEDZIE ,Chicago,Illinois,P003043636 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,19XX  S  KEDZIE 
14-Jun-12,36XX ,W ,26 ST ,Chicago,Illinois,P003220361 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,36XX  W  26 ST 
14-Jun-12,3XX ,E ,60TH ST ,Chicago,Illinois,P003139704 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,31,3XX  E  60TH ST 
14-Jun-12,4XX ,N ,CLINTON ,Chicago,Illinois,P003111969 ,9-52-010 Rights and duties. ,33,4XX  N  CLINTON 
14-Jun-12,5XX ,W ,KINZIE ST ,Chicago,Illinois,P003111968 ,9-52-010 Rights and duties. ,38,5XX  W  KINZIE ST 
15-Jun-12,14XX ,W ,83RD ST ,Chicago,Illinois,P003085410 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,46,14XX  W  83RD ST 
15-Jun-12,16XX ,W ,HOWARD ,Chicago,Illinois,P003031575 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,16XX  W  HOWARD 
15-Jun-12,51XX ,S ,ADA ,Chicago,Illinois,P003231290 ,9-52-080 Headlamps ,22,51XX  S  ADA 
15-Jun-12,8XX ,N ,MICHIGAN ,Chicago,Illinois,P003119097 ,9-52-010 Rights and duties. ,30,8XX  N  MICHIGAN 
16-Jun-12,114XX ,S ,STATE ST ,Chicago,Illinois,P003135806 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,114XX  S  STATE ST 
16-Jun-12,15XX ,S ,CALIFORNIA ,Chicago,Illinois,P003048482 ,9-52-080 Headlamps ,51,15XX  S  CALIFORNIA 
16-Jun-12,20XX ,S ,STATE ,Chicago,Illinois,P002085713 ,9-52-010 Rights and duties. ,35,20XX  S  STATE 
16-Jun-12,22XX ,S ,LEAVITT ,Chicago,Illinois,P002325714 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,22XX  S  LEAVITT 
16-Jun-12,2XX ,W ,63RD ST ,Chicago,Illinois,P002085712 ,9-52-010 Rights and duties. ,29,2XX  W  63RD ST 
16-Jun-12,8XX ,W ,37 ST ,Chicago,Illinois,P003232014 ,9-52-010 Rights and duties. ,19,8XX  W  37 ST 
16-Jun-12,8XX ,W ,BELMONT ,Chicago,Illinois,P003080131 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,8XX  W  BELMONT 
19-Jun-12,37XX ,W ,ROOSEVELT ,Chicago,Illinois,P001975044 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,37XX  W  ROOSEVELT 
19-Jun-12,60XX ,W ,GIDDINGS ,Chicago,Illinois,P003245060 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,22,60XX  W  GIDDINGS 
19-Jun-12,60XX ,W ,GIDDINGS ,Chicago,Illinois,P003245061 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,37,60XX  W  GIDDINGS 
